_id,id,cost_price,created_at,date,item_id,item_name,item_sku,notes,qty,supplier,unit,_migrated_at,_migrated_from
"6a89a30e3fb8c43ecce7c59c","in_rep_1_1785854327201","2574","2026-08-04T14:38:54.196Z","04-08-2026","stk_1","Rice (রাইস)","J001","Opening stock balance entry from inventory report","4","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c59d","in_rep_2_1785854327201","107","2026-08-04T14:38:54.196Z","04-08-2026","stk_2","Palm Oil (পাম অয়েল)","J002","Opening stock balance entry from inventory report","150","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c59e","in_rep_3_1785854327201","120","2026-08-04T14:38:54.196Z","04-08-2026","stk_3","Refined Oil (রেফাইন্ড অয়েল)","J003","Opening stock balance entry from inventory report","5","Egra Supplier","L","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c59f","in_rep_4_1785854327201","180","2026-08-04T14:38:54.196Z","04-08-2026","stk_4","Mustard Oil (মাস্টার অয়েল)","J004","Opening stock balance entry from inventory report","5","Egra Supplier","L","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a0","in_rep_5_1785854327201","36.4","2026-08-04T14:38:54.196Z","04-08-2026","stk_5","Maida (মাইদা)","J005","Opening stock balance entry from inventory report","50","Egra Supplier","kg","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a1","in_rep_6_1785854327201","44","2026-08-04T14:38:54.196Z","04-08-2026","stk_6","Atta (আটা)","J006","Opening stock balance entry from inventory report","30","Egra Supplier","kg","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a2","in_rep_7_1785854327201","10.4","2026-08-04T14:38:54.196Z","04-08-2026","stk_7","Chowmein Noodle (চাউমিন)","J007","Opening stock balance entry from inventory report","100","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a3","in_rep_8_1785854327201","33.6","2026-08-04T14:38:54.196Z","04-08-2026","stk_8","Tomato Sauce (টমেটো sos)","J008","Opening stock balance entry from inventory report","30","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a4","in_rep_9_1785854327201","33.6","2026-08-04T14:38:54.196Z","04-08-2026","stk_9","Chili Sauce","J009","Opening stock balance entry from inventory report","15","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a5","in_rep_10_1785854327201","65","2026-08-04T14:38:54.196Z","04-08-2026","stk_10","Soy Sauce","J010","Opening stock balance entry from inventory report","4","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a6","in_rep_11_1785854327201","45","2026-08-04T14:38:54.196Z","04-08-2026","stk_11","Vinegar","J011","Opening stock balance entry from inventory report","10","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a7","in_rep_12_1785854327201","62","2026-08-04T14:38:54.196Z","04-08-2026","stk_12","Corn Flour","J012","Opening stock balance entry from inventory report","12","Egra Supplier","kg","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a8","in_rep_13_1785854327201","12.5","2026-08-04T14:38:54.196Z","04-08-2026","stk_13","Kasuri Methi","J013","Opening stock balance entry from inventory report","120","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5a9","in_rep_14_1785854327201","40","2026-08-04T14:38:54.196Z","04-08-2026","stk_14","Chat Masala","J014","Opening stock balance entry from inventory report","20","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5aa","in_rep_15_1785854327201","52","2026-08-04T14:38:54.196Z","04-08-2026","stk_15","Kashmiri Chilli Powder","J015","Opening stock balance entry from inventory report","10","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5ab","in_rep_16_1785854327201","180","2026-08-04T14:38:54.196Z","04-08-2026","stk_16","Ajinomoto (Ajina)","J016","Opening stock balance entry from inventory report","7","Egra Supplier","kg","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5ac","in_rep_17_1785854327201","18.75","2026-08-04T14:38:54.196Z","04-08-2026","stk_17","Chilli Powder","J017","Opening stock balance entry from inventory report","80","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5ad","in_rep_18_1785854327201","12.5","2026-08-04T14:38:54.196Z","04-08-2026","stk_18","Haldi (Turmeric Powder)","J018","Opening stock balance entry from inventory report","50","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5ae","in_rep_19_1785854327201","0.23","2026-08-04T14:38:54.196Z","04-08-2026","stk_19","Jeera (Cumin Seeds)","J019","Opening stock balance entry from inventory report","3000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5af","in_rep_20_1785854327201","0.14","2026-08-04T14:38:54.196Z","04-08-2026","stk_20","Dal (Pulses)","J020","Opening stock balance entry from inventory report","2000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b0","in_rep_21_1785854327201","0.16","2026-08-04T14:38:54.196Z","04-08-2026","stk_21","Kabuli Chana","J021","Opening stock balance entry from inventory report","3000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b1","in_rep_22_1785854327201","0.1","2026-08-04T14:38:54.196Z","04-08-2026","stk_22","Mix Dal","J022","Opening stock balance entry from inventory report","2000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b2","in_rep_23_1785854327201","46.6","2026-08-04T14:38:54.196Z","04-08-2026","stk_23","Attar / Essence","J023","Opening stock balance entry from inventory report","6","Egra Supplier","pcs","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b3","in_rep_24_1785854327201","85","2026-08-04T14:38:54.196Z","04-08-2026","stk_24","Red Food Color","J024","Opening stock balance entry from inventory report","4","Egra Supplier","box","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b4","in_rep_25_1785854327201","85","2026-08-04T14:38:54.196Z","04-08-2026","stk_25","Yellow Food Color","J025","Opening stock balance entry from inventory report","2","Egra Supplier","box","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b5","in_rep_26_1785854327201","85","2026-08-04T14:38:54.196Z","04-08-2026","stk_26","Green Food Color","J026","Opening stock balance entry from inventory report","2","Egra Supplier","box","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b6","in_rep_27_1785854327201","0.13","2026-08-04T14:38:54.196Z","04-08-2026","stk_28","Mouri (Fennel Seeds)","J028","Opening stock balance entry from inventory report","1000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b7","in_rep_28_1785854327201","0.06","2026-08-04T14:38:54.196Z","04-08-2026","stk_29","Sugar","J029","Opening stock balance entry from inventory report","7","Egra Supplier","kg","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b8","in_rep_29_1785854327201","20","2026-08-04T14:38:54.196Z","04-08-2026","stk_30","Posto (Poppy Seeds)","J030","Opening stock balance entry from inventory report","10","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5b9","in_rep_30_1785854327201","15","2026-08-04T14:38:54.196Z","04-08-2026","stk_31","Dalda / Vanaspati","J031","Opening stock balance entry from inventory report","12","Egra Supplier","packet","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5ba","in_rep_31_1785854327201","0.6","2026-08-04T14:38:54.196Z","04-08-2026","stk_32","Kaju (Cashew Nuts)","J032","Opening stock balance entry from inventory report","2000","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
"6a89a30e3fb8c43ecce7c5bb","in_rep_32_1785854327201","0.54","2026-08-04T14:38:54.196Z","04-08-2026","stk_33","Mogoz (Melon Seeds)","J033","Opening stock balance entry from inventory report","500","Egra Supplier","g","""2026-08-22T13:49:23.860Z""","""public"".""stock_in_entries"""
